data1,data2,data3,data4,data5
27,1,48,20,data6
49,34,21,5,data7
21,12,32,20,data8
41,26,30,4,data9
40,36,24,10,data10
35,45,18,11,data11
48,6,42,19,data12
10,38,7,45,data13
15,28,36,27,data14
16,50,32,19,data15
22,13,21,40,data16
14,27,8,20,data17
20,38,16,6,data18
48,34,13,37,data19
29,9,31,41,data20
26,8,23,6,data21
7,18,50,7,data22
23,40,48,1,data23
34,44,2,17,data24
9,40,18,32,data25
41,32,25,6,data26
46,44,44,2,data27
22,22,7,35,data28
45,6,36,25,data29
19,3,12,18,data30
14,37,22,27,data31
49,6,13,24,data32
46,40,23,33,data33
20,40,45,7,data34
25,35,5,37,data35
